ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,HasBalcony,HasGarden,GardenArea,KitchekType,LivingRoomArea
9308979,HOUSE,HOUSE,,116.0,3,East Flanders,Flanders,9060,Alphonse Duysburghlaan,,FLANDERS,,,0.0,0.0,0.0,116,,,,,,,,,,,,,,,,
9308985,APARTMENT,APARTMENT,,105.0,3,West Flanders,Flanders,8300,Sylvain Dupuisstraat,4,FLANDERS,,,0.0,0.0,0.0,105,,,,,JUST_RENOVATED,1990,,True,NON_FLOOD_ZONE,GAS,True,,True,,INSTALLED,
9308986,APARTMENT,APARTMENT,,65.0,2,West Flanders,Flanders,8300,Diksmuidestraat,1,FLANDERS,,,0.0,0.0,0.0,65,,,,,JUST_RENOVATED,1988,,True,NON_FLOOD_ZONE,ELECTRIC,True,,,,INSTALLED,
9309042,HOUSE,HOUSE,,220.0,3,West Flanders,Flanders,8972,Haringestraat,,FLANDERS,,,0.0,0.0,0.0,220,,,,True,,2004,,,NON_FLOOD_ZONE,,,,True,,,
9309053,APARTMENT,APARTMENT,,,2,East Flanders,Flanders,9600,Bredestraat,,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309054,APARTMENT,APARTMENT,216500,,2,East Flanders,Flanders,9600,Bredestraat,,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309055,APARTMENT,APARTMENT,399000,,2,East Flanders,Flanders,9600,Bredestraat,3,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309057,APARTMENT,APARTMENT,233000,,2,East Flanders,Flanders,9600,Bredestraat,2,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309058,APARTMENT,APARTMENT,233900,,2,East Flanders,Flanders,9600,Bredestraat,2,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309059,APARTMENT,APARTMENT,208000,,2,East Flanders,Flanders,9600,Bredestraat,2,FLANDERS,,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309062,APARTMENT,APARTMENT,232000,,2,East Flanders,Flanders,9600,Bredestraat,1,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309063,APARTMENT,APARTMENT,232800,,2,East Flanders,Flanders,9600,Bredestraat,1,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,,,,,True,,GAS,True,,,,,
9309064,APARTMENT,APARTMENT,207750,,2,East Flanders,Flanders,9600,Bredestraat,1,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309067,APARTMENT,APARTMENT,223700,,2,East Flanders,Flanders,9600,Bredestraat,,FLANDERS,,,0.0,0.0,0.0,,,,,True,,,,True,,GAS,True,,,,,
9309153,APARTMENT,FLAT_STUDIO,195000,36.0,1,Brussels,Brussels,1180,,7,BRUSSELS,,,,,,36,,,True,,TO_BE_DONE_UP,1972,,True,,GAS,True,,,,,
9309169,HOUSE,VILLA,280000,160.0,3,Walloon Brabant,Wallonie,1460,,,WALLONIE,,,,,,160,,,,,TO_BE_DONE_UP,,3,,,GAS,,,True,265,INSTALLED,
9309253,HOUSE,HOUSE,,177.0,5,Liège,Wallonie,4682,,,WALLONIE,,,,,,177,,True,,,AS_NEW,2006,3,,,FUELOIL,True,,,,USA_HYPER_EQUIPPED,
9309327,APARTMENT,APARTMENT,,91.0,2,Limburg,Flanders,3700,Henisstraat,,FLANDERS,URBAN,,250.0,150.0,0.0,91,,,True,,AS_NEW,,,,,,True,,True,105,INSTALLED,
9309328,APARTMENT,APARTMENT,,98.0,2,Limburg,Flanders,3700,Henisstraat,1,FLANDERS,URBAN,,250.0,150.0,0.0,98,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309329,APARTMENT,APARTMENT,,94.0,2,Limburg,Flanders,3700,Henisstraat,1,FLANDERS,URBAN,,250.0,150.0,0.0,94,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309330,APARTMENT,APARTMENT,,96.0,2,Limburg,Flanders,3700,Henisstraat,,FLANDERS,URBAN,,250.0,150.0,0.0,96,,,True,,AS_NEW,,,True,,,True,,True,106,INSTALLED,
9309331,APARTMENT,APARTMENT,,107.0,2,Limburg,Flanders,3700,Henisstraat,1,FLANDERS,URBAN,,250.0,150.0,0.0,107,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309332,APARTMENT,APARTMENT,,90.0,2,Limburg,Flanders,3700,Henisstraat,2,FLANDERS,URBAN,,250.0,150.0,0.0,90,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309333,APARTMENT,APARTMENT,,114.0,2,Limburg,Flanders,3700,Henisstraat,,FLANDERS,URBAN,,250.0,150.0,0.0,114,,,True,,AS_NEW,,,True,,,True,,True,27,INSTALLED,
9309334,APARTMENT,APARTMENT,,87.0,1,Limburg,Flanders,3700,Henisstraat,2,FLANDERS,URBAN,,250.0,150.0,0.0,87,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309335,APARTMENT,APARTMENT,262918,99.0,2,Limburg,Flanders,3700,Henisstraat,2,FLANDERS,URBAN,,250.0,150.0,0.0,99,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309336,APARTMENT,APARTMENT,,83.0,1,Limburg,Flanders,3700,Henisstraat,3,FLANDERS,URBAN,,250.0,150.0,0.0,83,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309337,APARTMENT,APARTMENT,,106.0,2,Limburg,Flanders,3700,Henisstraat,3,FLANDERS,URBAN,,250.0,150.0,0.0,106,,,True,,AS_NEW,,,True,,,True,,,,INSTALLED,
9309581,APARTMENT,APARTMENT,490000,100.0,2,Antwerp,Flanders,2000,Frankrijklei,1,FLANDERS,URBAN,,0.0,0.0,0.0,100,,,True,,AS_NEW,2020,2,True,,GAS,True,,,,USA_HYPER_EQUIPPED,
9309582,APARTMENT,APARTMENT,500000,100.0,2,Antwerp,Flanders,2000,,2,FLANDERS,,,,,,100,,,True,,AS_NEW,2020,,True,,GAS,True,,,,USA_HYPER_EQUIPPED,
9309583,APARTMENT,APARTMENT,490000,100.0,2,Antwerp,Flanders,2000,,3,FLANDERS,,,,,,100,,,,,AS_NEW,,2,True,,GAS,True,,,,USA_HYPER_EQUIPPED,
9309594,APARTMENT,APARTMENT,,77.0,1,Flemish Brabant,Flanders,1500,,3,FLANDERS,,,,,,77,,,,,,,,,,,,,,,,
9309595,APARTMENT,APARTMENT,,83.0,1,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,83,,,,,,,,,,,,,,,,
9309596,APARTMENT,APARTMENT,,111.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,111,,,,,,,,,,,,,,,,
9309597,APARTMENT,APARTMENT,376000,127.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,127,,,,,,,,,,,,,,,,
9309598,APARTMENT,APARTMENT,377500,125.0,3,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,125,,,,,,,,,,,,,,,,
9309599,APARTMENT,APARTMENT,383000,134.0,3,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,134,,,,,,,,,,,,,,,,
9309600,APARTMENT,APARTMENT,,98.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,98,,,,,,,,,,,,,,,,
9309601,APARTMENT,APARTMENT,,111.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,111,,,,,,,,,,,,,,,,
9309602,APARTMENT,APARTMENT,,92.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,92,,,,,,,,,,,,,,,,
9309603,APARTMENT,APARTMENT,,73.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,73,,,,,,,,,,,,,,,,
9309604,APARTMENT,APARTMENT,,60.0,1,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,60,,,,,,,,,,,,,,,,
9309605,APARTMENT,APARTMENT,,95.0,2,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,95,,,,,,,,,,,,,,,,
9309606,APARTMENT,APARTMENT,,88.0,2,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,88,,,,,,,,,,,,,,,,
9309607,APARTMENT,APARTMENT,,69.0,1,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,69,,,,,,,,,,,,,,,,
9309609,APARTMENT,DUPLEX,289000,69.0,3,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,69,,,,,,,,,,,,,,,,
9309610,APARTMENT,DUPLEX,,133.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,133,,,,,,,,,,,,,,,,
9309611,APARTMENT,DUPLEX,,77.0,1,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,77,,,,,,,,,,,,,,,,
9309612,APARTMENT,DUPLEX,,80.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,80,,,,,,,,,,,,,,,,
9309613,APARTMENT,DUPLEX,,78.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,78,,,,,,,,,,,,,,,,
9309614,APARTMENT,APARTMENT,,86.0,1,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,86,,,,,,,,,,,,,,,,
9309615,APARTMENT,DUPLEX,229000,74.0,1,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,74,,,,,,,,,,,,,,,,
9309616,APARTMENT,DUPLEX,,74.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,74,,,,,,,,,,,,,,,,
9309617,APARTMENT,DUPLEX,215000,67.0,1,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,67,,,,,,,,,,,,,,,,
9309618,APARTMENT,DUPLEX,355000,108.0,3,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,108,,,,,,,,,,,,,,,,
9309619,APARTMENT,APARTMENT,,99.0,2,Flemish Brabant,Flanders,1500,,3,FLANDERS,,,,,,99,,,,,,,,,,,,,,,,
9309620,APARTMENT,APARTMENT,,60.0,1,Flemish Brabant,Flanders,1500,,3,FLANDERS,,,,,,60,,,,,TO_BE_DONE_UP,,,,,,,,,,,
9309621,APARTMENT,DUPLEX,399000,140.0,3,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,140,,,,,,,,,,,,,,,,
9309622,APARTMENT,DUPLEX,355500,125.0,3,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,125,,,,,,,,,,,,,,,,
9309623,APARTMENT,DUPLEX,324500,111.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,111,,,,,,,,,,,,,,,,
9309624,APARTMENT,DUPLEX,,89.0,1,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,89,,,,,,,,,,,,,,,,
9309625,APARTMENT,APARTMENT,324000,118.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,118,,,,,,2020,,True,NON_FLOOD_ZONE,,True,,,,USA_INSTALLED,
9309626,APARTMENT,APARTMENT,321500,110.0,2,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,110,,,,,,,,,,,,,,,,
9309627,APARTMENT,APARTMENT,,60.0,1,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,60,,,,,,2020,,True,POSSIBLE_FLOOD_ZONE,,True,,,,USA_HYPER_EQUIPPED,
9309628,APARTMENT,APARTMENT,,82.0,2,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,82,,,,,,,,,POSSIBLE_FLOOD_ZONE,,,,,,,
9309629,APARTMENT,APARTMENT,285000,96.0,2,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,96,,,,,,,,,,,,,,,,
9309630,APARTMENT,APARTMENT,264000,86.0,2,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,86,,,,,,,,,,,,,,,,
9309631,APARTMENT,APARTMENT,,69.0,1,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,69,,,,,,,,,,,,,,,,
9309632,APARTMENT,APARTMENT,201000,52.0,1,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,52,,,,,,,,,,,,,,,,
9309633,APARTMENT,APARTMENT,,69.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,69,,,,,,,,,,,,,,,,
