ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,KitchekType,LivingRoomArea,HasBalcony,HasGarden,GardenArea
4725068,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,3,,NON_FLOOD_ZONE,,True,INSTALLED,6,,True,99
4725069,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,94
4725070,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,98
4725071,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,6,,True,100
4725072,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,97
4725073,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,97
4725074,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,97
4725075,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,117
4725076,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,116
4725077,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,111
4725078,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,3,,,,True,INSTALLED,5,,True,112
4725079,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,3,,,,True,INSTALLED,6,,True,110
4725080,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,6,,True,109
4725081,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,106
